epoch,train_loss,val_loss,accuracy,precision,recall,f1,auc
1,0.6161791847510771,0.8274148801962534,0.7244355909694555,0.4125560538116592,0.9261744966442953,0.5708376421923474,0.892992466331837
2,0.3682937890291214,0.7945063213507334,0.8333333333333334,0.5563549160671463,0.7785234899328859,0.6489510489510489,0.9028067914129517
3,0.2445362838831815,0.8547429566582044,0.8432934926958832,0.5798969072164949,0.7550335570469798,0.6559766763848397,0.9072180985821592
4,0.17854981110854581,0.872597299516201,0.8313413014608234,0.5536585365853659,0.761744966442953,0.6412429378531074,0.9035762700564469
5,0.1408271879042414,0.9042510700722536,0.8386454183266933,0.5656324582338902,0.7953020134228188,0.6610878661087866,0.9114321747633227
6,0.09304996913468296,1.4513265776137512,0.8565737051792829,0.6626984126984127,0.5604026845637584,0.6072727272727273,0.8996094270856483
7,0.10965700764209033,1.0109192728996277,0.8173970783532537,0.5258426966292135,0.785234899328859,0.629878869448183,0.8998761056046937
8,0.0824285274075175,1.1602644386390846,0.8585657370517928,0.6253687315634219,0.7114093959731543,0.6656200941915228,0.9091612404995776
9,0.04425950714133003,1.2468249313533306,0.8446215139442231,0.5898876404494382,0.7046979865771812,0.6422018348623854,0.9084556535846038
10,0.017224955804307353,1.3132276547451813,0.8638778220451527,0.6363636363636364,0.7281879194630873,0.6791862284820032,0.9094793101915641
11,0.021424142681908877,1.5997862716515858,0.8559096945551129,0.6421052631578947,0.6140939597315436,0.62778730703259,0.9019206409173742
12,0.012186459635532545,1.5746296520034473,0.8565737051792829,0.6385135135135135,0.6342281879194631,0.6363636363636364,0.9054763545046447
13,0.008739039646884935,1.5359308136006196,0.8605577689243028,0.6538461538461539,0.62751677852349,0.6404109589041096,0.9117988577270102
14,0.007561151424571025,1.6948697815338771,0.8632138114209827,0.6619718309859155,0.6308724832214765,0.6460481099656358,0.9060402684563759
15,0.0066505633342206815,1.7396365354458492,0.8645418326693227,0.6690647482014388,0.6241610738255033,0.6458333333333334,0.9002261211609405
16,0.008120818486945196,1.802763283252716,0.8612217795484728,0.6731517509727627,0.5805369127516778,0.6234234234234234,0.9086376061158273
17,0.0034549936255313116,1.7615930885076523,0.8618857901726428,0.6630434782608695,0.6140939597315436,0.6376306620209059,0.9026026156718077
18,0.0027487788090101357,1.6925978511571884,0.8612217795484728,0.657243816254417,0.6241610738255033,0.6402753872633391,0.9015386794968665
19,0.0028554349613841624,1.8058759135504563,0.8638778220451527,0.6690909090909091,0.6174496644295302,0.6422338568935427,0.9030234677096761
20,0.0015935392457653175,1.9017861286799114,0.8579017264276229,0.6567164179104478,0.5906040268456376,0.6219081272084805,0.9042346326503401
21,0.002497394079347776,1.6880783140659332,0.8565737051792829,0.6375838926174496,0.6375838926174496,0.6375838926174496,0.9035596026490066
22,0.0018188835605873134,1.9045589119195938,0.8565737051792829,0.6553030303030303,0.5805369127516778,0.6156583629893239,0.9035290457353661
23,0.0010536906370279295,1.8974272459745407,0.8592297476759628,0.6557971014492754,0.6073825503355704,0.6306620209059234,0.9025928930174675
24,0.003106658131053502,1.7560739840070407,0.8545816733067729,0.6321070234113713,0.6342281879194631,0.6331658291457286,0.9022609338192809
25,0.0010809266077227552,1.8872048233946164,0.8605577689243028,0.6654135338345865,0.5939597315436241,0.6276595744680851,0.906297224321081
26,0.0010258235708037816,1.7418475796778996,0.8618857901726428,0.6551724137931034,0.6375838926174496,0.6462585034013606,0.9048749388861727
27,0.0010614745355930857,1.9772192885478337,0.8572377158034529,0.6566037735849056,0.5838926174496645,0.6181172291296625,0.8989093959731543
28,0.0013545281015632843,1.8441634221623342,0.852589641434263,0.6328671328671329,0.6073825503355704,0.6198630136986302,0.9023859393750833
29,0.00232857930585107,1.9677370985349019,0.8552456839309429,0.6526717557251909,0.5738255033557047,0.6107142857142858,0.9025498355482465
30,0.0023953494463719175,1.8605923851331074,0.8552456839309429,0.6481481481481481,0.587248322147651,0.6161971830985915,0.9021220387572781
