epoch,train_loss,val_loss,accuracy,precision,recall,f1,auc
1,0.9807924395257777,0.7494693944851557,0.6925630810092962,0.3895582329317269,0.9765100671140939,0.5569377990430622,0.8991510733810391
2,0.4079740930687297,0.7040526817242304,0.7689243027888446,0.45819397993311034,0.9194630872483222,0.6116071428571429,0.9066291835192675
3,0.24386085705323654,0.8393040051062902,0.8406374501992032,0.5747422680412371,0.7483221476510067,0.6501457725947521,0.9036901640072892
4,0.14022672067989003,0.8998586038748423,0.8472775564409031,0.5909090909090909,0.7416107382550335,0.6577380952380952,0.9048263256144717
5,0.10012982474132018,0.9111907631158829,0.8260292164674635,0.5428571428571428,0.7651006711409396,0.6350974930362117,0.9016400728921286
6,0.06496093831956387,1.0791762818892796,0.8572377158034529,0.6334405144694534,0.6610738255033557,0.6469622331691297,0.9086542735232677
7,0.03723665916106918,1.0957657098770142,0.8572377158034529,0.6300940438871473,0.674496644295302,0.6515397082658023,0.9142767456331392
8,0.023916765632615848,1.1158706347147624,0.8545816733067729,0.6207951070336392,0.6812080536912751,0.6496,0.9071625405573582
9,0.016473778447305614,1.3139698505401611,0.8605577689243028,0.6486486486486487,0.6442953020134228,0.6464646464646465,0.9046652073425485
10,0.013240314080295237,1.292939732472102,0.8665338645418327,0.6678200692041523,0.6476510067114094,0.6575809199318569,0.908668163029468
11,0.009436933078210462,1.1949715813000996,0.8678618857901726,0.6749116607773852,0.6409395973154363,0.657487091222031,0.9149739988443932
12,0.008678559628738598,1.3949539264043171,0.8705179282868526,0.6943396226415094,0.6174496644295302,0.6536412078152753,0.904990221787635
13,0.006862697517499327,1.2064855595429738,0.8685258964143426,0.668918918918919,0.6644295302013423,0.6666666666666666,0.9131378061247167
14,0.006384310117838058,1.4435259799162548,0.8751660026560425,0.7182539682539683,0.6073825503355704,0.6581818181818182,0.9059597093204141
15,0.006265814166346734,1.4252059559027355,0.8678618857901726,0.7004048582995951,0.5805369127516778,0.634862385321101,0.9111432730343572
16,0.004606883795085279,1.3324361344178517,0.8725099601593626,0.7022900763358778,0.6174496644295302,0.6571428571428571,0.9124433308147029
17,0.004054125944491137,1.4482696106036503,0.8711819389110226,0.7015503875968992,0.6073825503355704,0.6510791366906474,0.9029984665985153
18,0.003591915461319414,1.3851010153690975,0.8751660026560425,0.7099236641221374,0.6241610738255033,0.6642857142857143,0.9072236543846394
19,0.0034497068750418045,1.3809596002101898,0.8658698539176627,0.6875,0.5906040268456376,0.6353790613718412,0.909576536734966
20,0.0032133009686896746,1.2879255364338558,0.8705179282868526,0.6794425087108014,0.6543624161073825,0.6666666666666666,0.9066097382105872
