epoch,train_loss,val_loss,accuracy,precision,recall,f1,auc
1,0.6097815437750382,0.7968718657890955,0.750332005312085,0.43729903536977494,0.912751677852349,0.591304347826087,0.8909979332414774
2,0.3430798279968175,0.7415509931743145,0.8240371845949536,0.5390070921985816,0.7651006711409396,0.6324549237170597,0.9072625450020001
3,0.2284302074800838,0.9970871284604073,0.8559096945551129,0.6382252559726962,0.62751677852349,0.6328257191201354,0.9011150495577582
4,0.142064226469533,0.8768990760048231,0.8180610889774237,0.5277777777777778,0.7651006711409396,0.6246575342465753,0.9002539001733412
5,0.1144065615128387,1.078783315916856,0.8366533864541833,0.5684210526315789,0.7248322147651006,0.6371681415929203,0.8968731943641939
6,0.0525932074312798,1.0842384447654088,0.8638778220451527,0.6466876971608833,0.6879194630872483,0.6666666666666666,0.9084875994488644
7,0.035971009464595805,0.9940422177314758,0.851261620185923,0.6027777777777777,0.7281879194630873,0.6595744680851063,0.9094487532779234
8,0.022411709492602808,1.152983918786049,0.8539176626826029,0.6203703703703703,0.674496644295302,0.6463022508038585,0.9025651140050669
9,0.01772958611730825,1.2720576052864392,0.8625498007968128,0.6511627906976745,0.6577181208053692,0.654424040066778,0.9030706920307568
10,0.012717354028824379,1.3428876573840778,0.8745019920318725,0.6981818181818182,0.6442953020134228,0.6701570680628273,0.9042985243788614
11,0.009432485370515761,1.4458462273081143,0.8678618857901726,0.6826568265682657,0.6208053691275168,0.6502636203866432,0.9000386128272367
12,0.006612499154553833,1.5206728304425876,0.8638778220451527,0.6809338521400778,0.587248322147651,0.6306306306306306,0.9050721698742166
13,0.007565329172542657,1.5209004903833072,0.8678618857901726,0.6867924528301886,0.610738255033557,0.6465364120781527,0.901309502644562
14,0.005050895480036905,1.671125277876854,0.8612217795484728,0.6893617021276596,0.5436241610738255,0.6078799249530957,0.9015511800524468
15,0.0037515731554859403,1.550693189104398,0.8671978751660027,0.696,0.5838926174496645,0.635036496350365,0.9031595848704387
16,0.0035986102651804686,1.4349777822693188,0.8625498007968128,0.6642599277978339,0.6174496644295302,0.64,0.9019636983865948
17,0.004905290913831612,1.6270033518473308,0.8632138114209827,0.6932773109243697,0.5536912751677853,0.6156716417910447,0.9061291612960575
18,0.00457169766834175,1.637647805114587,0.8598937583001328,0.6820083682008368,0.5469798657718121,0.6070763500931099,0.90272484332637
19,0.0038781249993586576,1.4443172787626584,0.8652058432934927,0.6779026217228464,0.6073825503355704,0.6407079646017699,0.9077709009289301
20,0.002559292434439571,1.5333724642793338,0.8625498007968128,0.6798418972332015,0.5771812080536913,0.6243194192377496,0.9066514067291879
21,0.002752085229043256,1.4908717622359593,0.8691899070385126,0.6964980544747081,0.6006711409395973,0.645045045045045,0.906856971420952
22,0.0031482175463514233,1.557630976041158,0.8618857901726428,0.6814516129032258,0.5671140939597316,0.6190476190476191,0.9059791546290945
23,0.0025788147349058736,1.5158382058143616,0.8618857901726428,0.68,0.5704697986577181,0.6204379562043796,0.9053874616649629
24,0.002358523291662674,1.5958492780725162,0.8658698539176627,0.6951219512195121,0.5738255033557047,0.6286764705882353,0.9060263789501756
25,0.003023053080753677,1.3933771029114723,0.8691899070385126,0.6836363636363636,0.6308724832214765,0.6561954624781849,0.9065430685808258
26,0.00269685000477528,1.5777281026045482,0.8592297476759628,0.672,0.5637583892617449,0.6131386861313869,0.8991260722698786
27,0.002281741964609616,1.4146314039826393,0.8698539176626826,0.6888888888888889,0.6241610738255033,0.6549295774647887,0.9058652606782523
28,0.0024186661096543753,1.5003831883271534,0.8598937583001328,0.6733067729083665,0.5671140939597316,0.6156648451730419,0.9050235566025158
29,0.0020146446588279847,1.4435559883713722,0.8618857901726428,0.6691729323308271,0.5973154362416108,0.6312056737588653,0.9077875683363705
30,0.0020724005314563822,1.6403673216700554,0.8579017264276229,0.6735537190082644,0.5469798657718121,0.6037037037037037,0.9012011644961999
